File Created: 	2019-10-02 11.51.20						
Gas Name:	Ar	H2	H2				
MFC Name:	3	4	5				
Channel:	3	4	5				
Max Flow:	200	10	70				
K-factor:	1	0,696551724137931	0,696551724137931				
ID:	Gas	Gas	Gas				
Gas Conc.:	100	100	100				
		Set Values		Measured Values			
Time (s)	3	4	5	3	4	5	Temp1
t = 0 at: 	2019-10-02 11.53.46
0,096	50,000	0,000	0,000	50,050	0,000	0,191	0,0
1,045	50,000	0,000	0,000	50,044	0,000	0,200	0,0
2,090	50,000	0,000	0,000	50,050	0,000	0,159	0,0
3,040	50,000	0,000	0,000	50,044	0,000	0,153	0,0
4,086	50,000	0,000	0,000	50,056	0,000	0,191	0,0
5,035	50,000	0,000	0,000	50,044	0,000	0,187	0,0
6,080	50,000	0,000	0,000	50,041	0,000	0,191	0,0
7,030	50,000	0,000	0,000	50,047	0,000	0,191	0,0
8,076	50,000	0,000	0,000	50,059	0,000	0,194	0,0
9,025	50,000	0,000	0,000	50,056	0,000	0,187	0,0
10,071	50,000	0,000	0,000	50,056	0,000	0,166	0,0
11,020	50,000	0,000	0,000	50,059	0,000	0,156	0,0
12,065	50,000	0,000	0,000	50,044	0,000	0,187	0,0
13,015	50,000	0,000	0,000	50,047	0,000	0,191	0,0
14,060	50,000	0,000	0,000	50,050	0,000	0,209	0,0
15,010	50,000	0,000	0,000	50,041	0,000	0,187	0,0
16,055	50,000	0,000	0,000	50,025	0,000	0,200	0,0
17,005	50,000	0,000	0,000	50,059	0,000	0,163	0,0
18,050	50,000	0,000	0,000	50,050	0,000	0,181	0,0
19,000	50,000	0,000	0,000	50,044	0,000	0,178	0,0
20,045	50,000	0,000	0,000	50,038	0,000	0,153	0,0
21,090	50,000	0,000	0,000	50,038	0,000	0,169	0,0
22,041	50,000	0,000	0,000	50,034	0,000	0,184	0,0
23,085	50,000	0,000	0,000	50,066	0,000	0,159	0,0
24,035	50,000	0,000	0,000	50,038	0,000	0,187	0,0
25,080	50,000	0,000	0,000	50,028	0,000	0,172	0,0
26,030	50,000	0,000	0,000	50,034	0,000	0,163	0,0
27,075	50,000	0,000	0,000	50,047	0,000	0,181	0,0
28,025	50,000	0,000	0,000	50,031	0,000	0,184	0,0
29,070	50,000	0,000	0,000	50,050	0,000	0,159	0,0
30,020	50,000	0,000	0,000	50,053	0,000	0,169	0,0
31,065	50,000	0,000	0,000	50,034	0,000	0,178	0,0
32,015	50,000	0,000	0,000	50,044	0,000	0,178	0,0
33,060	50,000	0,000	0,000	50,044	0,000	0,200	0,0
34,010	50,000	0,000	0,000	50,041	0,000	0,175	0,0
35,055	50,000	0,000	0,000	50,031	0,000	0,159	0,0
36,005	50,000	0,000	0,000	50,041	0,000	0,187	0,0
37,050	50,000	0,000	0,000	50,041	0,000	0,194	0,0
38,000	50,000	0,000	0,000	50,041	0,000	0,216	0,0
39,045	50,000	0,000	0,000	50,025	0,000	0,169	0,0
40,090	50,000	0,000	0,000	49,994	0,000	0,141	0,0
41,041	50,000	0,000	0,000	50,022	0,000	0,147	0,0
42,085	50,000	0,000	0,000	49,981	0,000	0,159	0,0
43,035	50,000	0,000	0,000	47,403	0,000	0,159	0,0
44,080	50,000	0,000	0,000	48,366	0,000	0,163	0,0
45,030	50,000	0,000	0,000	49,516	0,000	0,163	0,0
46,076	50,000	0,000	0,000	49,909	0,000	0,144	0,0
47,025	50,000	0,000	0,000	50,009	0,000	0,178	0,0
48,070	50,000	0,000	0,000	50,053	0,000	0,147	0,0
49,021	50,000	0,000	0,000	50,078	0,000	0,166	0,0
50,065	50,000	0,000	0,000	50,094	0,000	0,175	0,0
51,015	50,000	0,000	0,000	50,075	0,000	0,181	0,0
52,060	50,000	0,000	0,000	50,084	0,000	0,194	0,0
53,010	50,000	0,000	0,000	50,069	0,000	0,181	0,0
54,055	50,000	0,000	0,000	50,091	0,000	0,184	0,0
55,006	50,000	0,000	0,000	50,084	0,000	0,175	0,0
56,051	50,000	0,000	0,000	50,094	0,000	0,209	0,0
57,001	50,000	0,000	0,000	50,081	0,000	0,181	0,0
58,046	50,000	0,000	0,000	50,084	0,000	0,194	0,0
59,090	50,000	0,000	0,000	50,097	0,000	0,200	0,0
60,040	50,000	0,000	0,000	50,097	0,000	0,194	0,0
61,085	50,000	0,000	0,000	50,081	0,000	0,219	0,0
62,035	50,000	0,000	0,000	50,097	0,000	0,197	0,0
63,080	50,000	0,000	0,000	50,091	0,000	0,178	0,0
64,031	50,000	0,000	0,000	50,069	0,000	0,175	0,0
65,076	50,000	0,000	0,000	50,103	0,000	0,181	0,0
66,025	50,000	0,000	0,000	50,081	0,000	0,178	0,0
67,071	50,000	0,000	0,000	50,078	0,000	0,187	0,0
68,020	50,000	0,000	0,000	50,078	0,000	0,209	0,0
69,065	50,000	0,000	0,000	50,081	0,000	0,184	0,0
70,016	50,000	0,000	0,000	50,091	0,000	0,169	0,0
71,060	50,000	0,000	0,000	50,072	0,000	0,175	0,0
72,010	50,000	0,000	0,000	50,087	0,000	0,184	0,0
73,055	50,000	0,000	0,000	50,078	0,000	0,203	0,0
74,005	50,000	0,000	0,000	50,087	0,000	0,144	0,0
75,050	50,000	0,000	0,000	50,091	0,000	0,216	0,0
76,000	50,000	0,000	0,000	50,084	0,000	0,209	0,0
77,045	50,000	0,000	0,000	50,066	0,000	0,178	0,0
78,090	50,000	0,000	0,000	50,103	0,000	0,225	0,0
79,040	50,000	0,000	0,000	50,072	0,000	0,194	0,0
80,085	50,000	0,000	0,000	50,072	0,000	0,184	0,0
81,035	50,000	0,000	0,000	50,075	0,000	0,175	0,0
82,080	50,000	0,000	0,000	50,087	0,000	0,169	0,0
83,031	50,000	0,000	0,000	50,078	0,000	0,172	0,0
84,075	50,000	0,000	0,000	50,066	0,000	0,175	0,0
85,025	50,000	0,000	0,000	50,084	0,000	0,191	0,0
86,070	50,000	0,000	0,000	50,069	0,000	0,194	0,0
87,020	50,000	0,000	0,000	50,075	0,000	0,172	0,0
88,065	50,000	0,000	0,000	50,059	0,000	0,175	0,0
89,015	50,000	0,000	0,000	50,072	0,000	0,219	0,0
90,060	50,000	0,000	0,000	50,081	0,000	0,169	0,0
91,010	50,000	0,000	0,000	50,075	0,000	0,178	0,0
92,056	50,000	0,000	0,000	50,053	0,000	0,187	0,0
93,005	50,000	0,000	0,000	50,069	0,000	0,184	0,0
94,050	50,000	0,000	0,000	50,050	0,000	0,181	0,0
95,000	50,000	0,000	0,000	50,041	0,000	0,172	0,0
96,045	50,000	0,000	0,000	50,059	0,000	0,200	0,0
97,090	50,000	0,000	0,000	50,059	0,000	0,181	0,0
98,040	50,000	0,000	0,000	50,078	0,000	0,194	0,0
99,085	50,000	0,000	0,000	50,053	0,000	0,194	0,0
100,036	50,000	0,000	0,000	50,050	0,000	0,197	0,0
101,081	50,000	0,000	0,000	50,050	0,000	0,175	0,0
102,030	50,000	0,000	0,000	50,050	0,000	0,172	0,0
103,075	50,000	0,000	0,000	50,066	0,000	0,153	0,0
104,025	50,000	0,000	0,000	50,056	0,000	0,197	0,0
105,070	50,000	0,000	0,000	50,059	0,000	0,181	0,0
106,021	50,000	0,000	0,000	50,056	0,000	0,169	0,0
107,065	50,000	0,000	0,000	50,053	0,000	0,212	0,0
108,016	50,000	0,000	0,000	50,056	0,000	0,184	0,0
109,060	50,000	0,000	0,000	50,050	0,000	0,166	0,0
110,010	50,000	0,000	0,000	50,062	0,000	0,166	0,0
111,056	50,000	0,000	0,000	50,069	0,000	0,209	0,0
112,005	50,000	0,000	0,000	50,081	0,000	0,181	0,0
113,050	50,000	0,000	0,000	50,059	0,000	0,178	0,0
114,000	50,000	0,000	0,000	50,066	0,000	0,212	0,0
115,045	50,000	0,000	0,000	50,072	0,000	0,184	0,0
116,090	50,000	0,000	0,000	50,031	0,000	0,181	0,0
117,040	50,000	0,000	0,000	50,059	0,000	0,178	0,0
118,085	50,000	0,000	0,000	50,050	0,000	0,184	0,0
119,036	50,000	0,000	0,000	50,081	0,000	0,184	0,0
120,080	50,000	0,000	0,000	50,066	0,000	0,206	0,0
121,031	50,000	0,000	0,000	50,072	0,000	0,156	0,0
122,075	50,000	0,000	0,000	50,069	0,000	0,191	0,0
